Majors Lava Bads Air,Ambassador Alvijar,"North-east Dorgesh-Kaan, middle floor, just south of the house with the quest symbol. (You must complete Another Slice of H.A.M. before attempting).","2,505"
No Owner,Oronwen,Lletya Seamstress shop in Lletya.,20
Or Zinc Fumes Ward,Wizard Frumscone,"Downstairs in the Wizards' Guild (requires 66 Magic to enter, boosted).",Puzzle box
Our Own Needs,Nurse Wooned,"Shayzien infirmary, north of Xeric's Look out.",19
Snakes So I Sail,Lisse Isaakson,Neitiznot,2
Unleash Night Mist,Sigli the Huntsman,Rellekka,302
A Elf Knows,Snowflake,Weiss,Light box or puzzle box.
Car If Ices,Sacrifice,"Zul-Andra, on the dock near Priestess Zul-Gwenwynig.",Light box or puzzle box.
Ded War,Edward,Inside Rogues' Castle,Light box or puzzle box.
Dim Tharn,Mandrith,Outside the Wilderness Resource Area.,Light box or Puzzle box
Duo Plug,Dugopul,"Graveyard on Ape Atoll, south of Awowogei's throne room.",Light box or puzzle box.
Forlun,Runolf,Miscellania and Etceteria Dungeon,Light box or puzzle box.
Im N Zezim,Immenizz,The impling inside Puro-Puro.,Light box or puzzle box.
Mal in Tau,Luminata,"East of the Burgh de Rott entrance, in town.",Light box or puzzle box.
Mold La Ran,Old Man Ral,Meiyerditch,Light box or puzzle box.
Mus Kil Reader,Radimus Erkle,Legends' Guild,Light box or puzzle box.
Rip Maul,Primula,Myths' Guild,Light box or puzzle box.
Rue Go,Goreu,Lletya,Light box or puzzle box.
Slam Duster Grail,Guildmaster Lars,Woodcutting Guild in Hosidius.,Light box or puzzle box.
Ten Wigs On,Wingstone,Between Nardah and the Agility Pyramid.,Light box or puzzle box.
Twenty Cure Iron,New recruit Tony,Graveyard of Heroes in Shayzien.,Light box or puzzle box
Yawns Gy,Ysgawyn,Lletya,Light box or puzzle box
